rank,accession,source_database,organism_or_strain_as_annotated,length_aa,predicted_TM_segments,informative_active_site_positions_present_of_14,closest_mobilised_family,identity_percent,notes
1,A0A220T316,UniProtKB,Moraxella sp MSG13C03,541,4,14,MCR-1.1,98.7,
2,A0ABX6NRT3,UniProtKB,Aeromonas media,540,4,14,MCR-3.1,95.0,
3,WP_232921000.1,RefSeq,Buttiauxella cochleicola,539,4,14,MCR-9.1,87.4,
4,A3D4D9,UniProtKB,Shewanella baltica OS155,541,3,14,MCR-4.1,81.5,
5,A0A220ULZ5,UniProtKB,Shewanella bicestrii,541,4,14,MCR-4.1,80.6,
6,WP_220053229.1,RefSeq,Shewanella,541,4,14,MCR-4.1,80.2,
7,WP_499669208.1,RefSeq,Aeromonas jandaei,538,5,14,MCR-7.1,78.3,
8,WP_508945341.1,RefSeq,Aeromonas sobria,538,4,14,MCR-7.1,70.8,
9,T0R4P1,UniProtKB,Aeromonas salmonicida pectinolytica,541,4,14,MCR-7.1,68.0,
10,WP_499756849.1,RefSeq,Aeromonas rivipollensis,541,5,14,MCR-7.1,67.1,
11,A0ACH3EHW4,UniProtKB,Aeromonas mytilicola,541,5,14,MCR-7.1,66.9,
12,WP_490288700.1,RefSeq,Faucicola osloensis,563,4,14,MCR-6.1,65.1,
13,A0A9X2A2D0,UniProtKB,Moraxella tetraodonis,558,4,14,MCR-6.1,64.9,
14,WP_284034866.1,RefSeq,Moraxellaceae,548,4,14,MCR-6.1,64.5,
15,A0A2S1CRZ0,UniProtKB,Moraxella porci,540,3,14,MCR-1.1,62.9,
16,A0A380BUX4,UniProtKB,Shewanella algae,539,4,14,MCR-4.1,62.8,
17,A0ACG9E1F0,UniProtKB,MORCA Moraxella catarrhalis,578,4,14,MCR-6.1,60.9,
18,A0ABY0BLA0,UniProtKB,MORCA Moraxella catarrhalis,578,4,14,MCR-6.1,60.7,
19,A0ABM7DAI0,UniProtKB,Shewanella khirikhana,536,4,14,MCR-4.1,58.1,
20,WP_493767314.1,RefSeq,Edwardsiella tarda,541,4,14,MCR-10.1,56.2,
21,WP_496226078.1,RefSeq,Hafnia alvei,544,4,14,MCR-10.1,55.5,
22,WP_496202703.1,RefSeq,Ewingella sp. AOP9-I1-14,543,4,14,MCR-10.1,55.5,
23,WP_504432666.1,RefSeq,Rahnella perminowiae,544,4,14,MCR-10.1,54.9,
24,WP_497148372.1,RefSeq,Plesiomonas shigelloides,547,4,14,MCR-10.1,54.3,
25,WP_509683000.1,RefSeq,Vibrio navarrensis,549,4,14,MCR-10.1,51.9,
26,WP_509676488.1,RefSeq,Vibrio metoecus,550,4,14,MCR-10.1,51.6,
27,WP_509684683.1,RefSeq,Vibrio mimicus,548,4,14,MCR-10.1,50.8,
28,WP_497148305.1,RefSeq,Plesiomonas shigelloides,531,4,14,MCR-10.1,50.8,
29,WP_509654125.1,RefSeq,Vibrio cholerae,547,4,14,MCR-10.1,50.7,
30,WP_509680243.1,RefSeq,Vibrio vulnificus,546,4,14,MCR-10.1,49.6,
31,A0ABQ2QZX7,UniProtKB,Shewanella litoralis,535,4,14,MCR-10.1,45.4,
32,A0ACH4F3L4,UniProtKB,Shewanella basaltis,555,4,14,MCR-9.1,45.4,
33,WP_454751270.1,RefSeq,Cupriavidus,566,4,14,MCR-5.1,45.1,
34,WP_498358912.1,RefSeq,Shewanella frigidimarina,555,3,14,MCR-9.1,45.0,
35,A0ABQ2QTU1,UniProtKB,Shewanella ulleungensis,563,4,14,MCR-10.1,44.7,
36,A0ABQ1IM52,UniProtKB,Shewanella inventionis,563,4,14,MCR-10.1,44.1,
37,WP_227311958.1,RefSeq,Cupriavidus sp. MP-37,578,5,14,MCR-5.1,44.0,
38,A0ABQ2Q3C4,UniProtKB,Shewanella saliphila,587,4,14,MCR-7.1,44.0,
39,WP_280172752.1,RefSeq,Enterobacterales,545,5,14,MCR-8.1,43.8,
40,WP_507244468.1,RefSeq,Campylobacter sp.,542,4,14,MCR-1.1,43.6,
41,WP_498532122.1,RefSeq,Cedecea sp. Ae19-4,542,4,14,MCR-8.1,43.5,
42,WP_509188741.1,RefSeq,Serratia rubidaea,546,4,14,MCR-8.1,43.3,
43,WP_455507789.1,RefSeq,Enterobacter,541,4,14,MCR-8.1,43.2,
44,WP_508921828.1,RefSeq,Escherichia coli,547,4,14,MCR-8.1,42.3,
45,WP_442820864.1,RefSeq,Yersinia,553,4,14,MCR-8.1,42.2,
46,NP_418538.2,RefSeq,Escherichia coli str. K-12 substr. MG1655,547,4,14,MCR-8.1,42.1,
47,WP_508977199.1,RefSeq,Escherichia coli,547,4,14,MCR-8.1,42.1,
48,WP_001309144.1,RefSeq,Pseudomonadati,547,4,14,MCR-8.1,42.1,
49,WP_039484537.1,RefSeq,Pectobacterium parvum,548,4,14,MCR-9.1,42.1,
50,WP_509412112.1,RefSeq,Escherichia coli,547,4,14,MCR-8.1,42.0,
51,WP_504339545.1,RefSeq,Lelliottia sp.,542,4,14,MCR-7.1,41.9,
52,WP_155021951.1,RefSeq,Citrobacter pasteurii,545,3,14,MCR-8.1,41.4,
53,WP_210182583.1,RefSeq,Dickeya parazeae,547,3,14,MCR-8.1,41.3,
54,WP_320529772.1,RefSeq,Leclercia,542,4,14,MCR-10.1,41.3,
55,WP_224042345.1,RefSeq,Cupriavidus respiraculi,568,3,14,MCR-7.1,41.2,
56,A0A3A5KAG0,UniProtKB,Buttiauxella izardii,542,3,14,MCR-8.1,41.2,
57,WP_232863754.1,RefSeq,Buttiauxella cochleicola,542,5,14,MCR-8.1,41.0,
58,WP_506698367.1,RefSeq,Phytobacter diazotrophicus,547,5,14,MCR-8.1,40.9,
59,WP_507779059.1,RefSeq,Pseudomonas sp. RC25-4,550,4,14,MCR-12.1,40.6,
60,WP_437430954.1,RefSeq,Enterobacteriaceae,547,4,14,MCR-8.1,40.5,
61,A0A2T2Y6I5,UniProtKB,Kluyvera genomosp2,543,4,14,MCR-3.1,40.5,
62,WP_509467498.1,RefSeq,Salmonella enterica,547,4,14,MCR-7.1,40.4,
63,WP_503987387.1,RefSeq,Salmonella enterica,547,4,14,MCR-7.1,40.4,
64,WP_509401980.1,RefSeq,Citrobacter freundii,545,3,14,MCR-8.1,40.4,
65,WP_509045700.1,RefSeq,Klebsiella ornithinolytica,548,4,14,MCR-10.1,40.4,
66,WP_490767992.1,RefSeq,Kosakonia cowanii,547,4,14,MCR-8.1,40.3,
67,A0AB35X6N7,UniProtKB,Kluyvera ascorbata,543,5,14,MCR-7.1,40.3,
68,WP_509065747.1,RefSeq,Pantoea brenneri,546,4,14,MCR-7.1,40.2,
69,WP_498980395.1,RefSeq,Gammaproteobacteria,545,4,14,MCR-7.1,40.2,
70,WP_508667667.1,RefSeq,Citrobacter sedlakii,547,4,14,MCR-8.1,40.1,
71,WP_463893905.1,RefSeq,Pseudomonas,565,4,14,MCR-7.1,40.1,
72,WP_338463516.1,RefSeq,Franconibacter,545,4,14,MCR-7.1,40.1,
73,WP_038020592.1,RefSeq,Tatumella morbirosei,545,4,14,MCR-8.1,40.0,
74,A0A6G9RPU7,UniProtKB,Kluyvera genomosp3,543,4,14,MCR-3.1,39.9,
75,A0A1B7JEX8,UniProtKB,Kluyvera georgiana,543,4,14,MCR-3.1,39.9,
76,WP_506355363.1,RefSeq,Shewanella sp.,559,4,14,MCR-10.1,39.8,
77,WP_509425983.1,RefSeq,Cronobacter turicensis,549,4,14,MCR-8.1,39.8,
78,WP_103696839.1,RefSeq,Pseudomonadota,546,4,14,MCR-7.1,39.8,
79,WP_472681338.1,RefSeq,Pluralibacter gergoviae,546,5,14,MCR-8.1,39.8,
80,WP_499084076.1,RefSeq,Lelliottia jeotgali,542,4,14,MCR-5.1,39.7,
81,A0ABR6RP60,UniProtKB,Kluyvera sichuanensis,543,4,14,MCR-7.1,39.7,
82,A0ABX6DQN3,UniProtKB,Kluyvera intermedia,543,5,14,MCR-7.1,39.5,
83,WP_497766411.1,RefSeq,Kluyvera fluvialis,543,5,14,MCR-7.1,39.3,
84,WP_363510943.1,RefSeq,Burkholderia sp. LMU1-1-1.1,570,3,14,MCR-8.1,39.2,
85,WP_508824434.1,RefSeq,Erwinia sp. VRR173,546,4,14,MCR-7.1,39.2,
86,WP_463199511.1,RefSeq,Moraxella sp. I5G,544,3,14,MCR-3.1,38.4,
87,WP_002216735.1,RefSeq,Neisseria,544,4,14,MCR-10.1,38.3,
88,WP_509126031.1,RefSeq,Acinetobacter kookii,555,5,13,MCR-7.1,38.3,
89,L2F7W5,UniProtKB,Moraxella macacae,551,3,14,MCR-8.1,37.5,
90,WP_509059598.1,RefSeq,Morganella morganii,557,4,11,MCR-4.1,26.2,
91,WP_069368207.1,RefSeq,Enterobacterales,563,3,12,MCR-10.1,25.5,
92,WP_496203258.1,RefSeq,Ewingella sp. AOP9-I1-14,561,4,11,MCR-4.1,25.4,
93,WP_499059346.1,RefSeq,Phytobacter ursingii,560,5,11,MCR-12.1,25.1,
94,WP_509427568.1,RefSeq,Cronobacter universalis,559,5,11,MCR-5.1,25.1,
95,WP_304372782.1,RefSeq,Tatumella ptyseos,569,5,12,MCR-4.1,24.9,
96,WP_497230535.1,RefSeq,Hafnia psychrotolerans,561,4,11,MCR-4.1,24.7,
97,WP_503275303.1,RefSeq,Dickeya dadantii,560,4,11,MCR-12.1,24.6,
98,WP_430892645.1,RefSeq,Kosakonia sp. N21,559,5,11,MCR-4.1,24.5,
99,WP_504970690.1,RefSeq,Salmonella enterica,489,5,11,MCR-4.1,24.1,
100,WP_504359529.1,RefSeq,Salmonella enterica,563,5,11,MCR-4.1,24.1,
101,WP_503034493.1,RefSeq,Pantoea dispersa,564,5,11,MCR-10.1,24.1,
102,WP_294901111.1,RefSeq,Tatumella sp. UBA2305,564,2,11,MCR-10.1,24.1,
103,WP_212708183.1,RefSeq,Tatumella,562,3,11,MCR-4.1,24.1,
104,WP_416250066.1,RefSeq,Erwinia sp. PPS120,572,5,11,MCR-5.1,24.0,
105,WP_503987587.1,RefSeq,Salmonella enterica,563,5,11,MCR-4.1,23.9,
106,WP_503703873.1,RefSeq,Salmonella enterica,563,5,11,MCR-4.1,23.9,
107,WP_437434076.1,RefSeq,Enterobacteriaceae,560,5,11,MCR-12.1,23.8,
108,WP_165708168.1,RefSeq,Pectobacterium parvum,559,5,11,MCR-5.1,23.8,
109,WP_481637702.1,RefSeq,Franconibacter pulveris,559,5,11,MCR-5.1,23.8,
